A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
7242.534223133323,-3066.000541647624,-262.9705078597027,4685.145787353775,7430.89475028869,214.99235237071397,-15424.889523248778,6524.629776394462,5758.332178141462,-7208.191171020309,-4968.432799787363,5903.529773651527
289.8272305926205,-2964.134638417023,-797.4084867624766,6711.8197590772725,4773.523398266837,-1284.5582863765635,-11162.43043470054,8007.965561195038,2530.381590016754,-6456.9680506450595,-7386.825727349653,7725.714336129287
4680.92424304275,-7803.551386921544,-4848.973625835357,2969.294126103313,11829.099255033745,-3753.40266005486,-16235.355683213653,6894.3464979940245,8467.212871136724,-6234.925251177489,-9332.29578943141,3576.4274890973907
6568.618120351838,-4187.4519680434105,335.86798349689224,5898.804700860545,11075.4360915994,-5308.139447453988,-17054.49398188085,7809.893319802269,9921.28856160772,-3787.9651069912834,-2860.5169346506304,4196.980611802574
5530.871554450678,-2947.21472750509,-3046.103958689019,4839.223750118561,10553.166764536521,-6191.7152002846715,-14724.024256878287,10633.430018902714,11720.887994843553,-6631.969502731193,-4586.6013291424515,7043.923832500612
5139.406994625998,-2150.9262445719314,-3732.4286209333354,8582.96420059043,9525.719013132712,-4299.63256315877,-15660.68766899082,7518.60135183967,6417.724426346879,-7240.802154919382,-3053.4823069060567,7363.773632749813
3387.2672613135987,-2541.454210703827,-3773.2761504230775,3245.730332504916,9170.81296138159,-7074.804485207715,-17631.189268401464,7197.834684590792,8260.536477428725,-3946.9503801746887,-6170.585610651123,4001.7987887874024
11414.44184987141,1430.6532807015406,-3848.639956730412,2674.1330626271406,-2456.0095470994206,-6407.705930879615,-21055.6907836044,3333.5859627434193,7023.674489406063,-5660.5164660602595,-2234.4703968298786,4793.717338532939
13556.83019948968,-378.4512706637434,-3129.5774683922114,4770.296761182944,-2945.218939703636,-1673.3180341355867,-19529.497036080975,4024.0431422357756,5906.561764591353,-6252.54031471404,359.72043576141306,2201.3284877352544
12449.402672060845,908.0127269004519,-3523.1125168940976,4380.042980837056,-2912.236217208365,-4585.742750370911,-18379.076285007905,1443.799832839575,3202.2736405171527,-5528.818508320565,-2410.644025633452,6567.495430425682
11152.741160357695,-2768.42986592125,-5042.56516508479,6953.189224167966,576.2944221614138,-4241.883978361064,-18795.761252017226,8441.309461813918,4740.178449697649,-7573.442993151645,-2048.025947434752,7389.749789420908
13648.559366769587,-727.53291380334,-1491.7489643893193,6881.059194520456,-3154.331185366836,-4277.43921677899,-18658.17685183103,6712.4781292009875,6770.372292000382,-6006.41650613221,1666.6229259867598,7614.738192870733
13882.92113675567,-1551.3220494632271,-1915.8063919927508,7375.712058712007,-3522.6547994261105,-1602.7357984630578,-14645.039551228912,4170.874488008748,6561.547017157937,-3746.598407138872,5057.548644829148,2086.1266753144628
